make,fuel_type,body_style,engine_size,horsepower,curb_weight,price
Honda,Gasoline,Hatchback,286,229,3205,17755
Honda,Diesel,SUV,390,281,3897,5865
Ford,Diesel,SUV,185,175,2085,16173
Honda,Diesel,SUV,265,136,3490,43097
Toyota,Gasoline,Sedan,213,270,2925,38371
BMW,Gasoline,SUV,282,80,2052,43524
Honda,Gasoline,Sedan,306,113,2859,16254
Honda,Gasoline,Hatchback,355,248,2866,9018
Ford,Diesel,SUV,334,281,3258,10192
Honda,Diesel,Hatchback,102,82,3982,7015
Honda,Diesel,Hatchback,307,262,3802,47618
Honda,Gasoline,SUV,296,51,3822,8380
Ford,Gasoline,Sedan,224,67,2432,33343
Honda,Gasoline,SUV,237,224,3519,8770
BMW,Diesel,Hatchback,124,210,2998,10829
Ford,Diesel,Hatchback,167,278,2099,39381
BMW,Gasoline,SUV,160,275,2989,20545
Ford,Diesel,Sedan,128,133,2598,23263
Honda,Gasoline,Sedan,118,84,2402,43140
BMW,Gasoline,Hatchback,270,228,2395,48306
Ford,Diesel,Hatchback,173,163,3550,30675
Toyota,Gasoline,Sedan,160,295,2414,30362
Honda,Diesel,SUV,252,195,2938,5148
Ford,Gasoline,Hatchback,375,159,3636,6754
Toyota,Diesel,Sedan,147,137,2676,31745
Ford,Diesel,Hatchback,310,121,2462,12378
Toyota,Diesel,SUV,238,174,2540,25140
Honda,Gasoline,Sedan,209,79,3649,14371
BMW,Gasoline,Hatchback,282,221,3642,31999
Toyota,Diesel,SUV,127,102,3945,17779
Ford,Diesel,Hatchback,296,187,3387,36075
Honda,Gasoline,SUV,290,136,3153,35697
Toyota,Gasoline,SUV,150,229,2083,14795
Ford,Gasoline,Sedan,248,226,2270,43460
Ford,Diesel,SUV,367,188,2243,9218
Ford,Gasoline,Hatchback,149,243,2387,42571
Toyota,Gasoline,SUV,345,235,2213,16672
Toyota,Diesel,SUV,212,267,2817,36042
Toyota,Gasoline,Sedan,269,213,3189,40950
BMW,Gasoline,SUV,265,210,3814,16009
Toyota,Gasoline,SUV,113,224,2058,24544
Toyota,Diesel,Hatchback,302,62,3625,34381
Toyota,Diesel,Sedan,387,89,2882,30287
BMW,Diesel,Sedan,288,138,2842,7586
Toyota,Diesel,Sedan,254,117,2923,7648
Ford,Diesel,SUV,154,91,3527,45081
Toyota,Diesel,Sedan,281,196,3729,23101
Ford,Diesel,SUV,309,259,2122,26692
Ford,Gasoline,SUV,174,278,3671,12407
Ford,Gasoline,Hatchback,376,143,3436,22254
BMW,Diesel,Hatchback,232,68,3162,20234
BMW,Gasoline,Hatchback,158,235,3252,27211
BMW,Gasoline,Hatchback,281,72,3297,34480
Toyota,Diesel,Hatchback,163,103,2438,29846
Ford,Gasoline,SUV,359,257,3021,47503
BMW,Gasoline,SUV,292,114,2561,20321
BMW,Gasoline,Sedan,242,189,3933,17646
Toyota,Gasoline,SUV,203,73,2117,27117
BMW,Gasoline,SUV,313,83,3737,9893
Toyota,Diesel,Hatchback,341,102,2904,14476
Honda,Diesel,SUV,308,298,3506,22270
BMW,Diesel,Hatchback,192,185,2394,26702
Honda,Gasoline,Sedan,241,67,3726,9382
Toyota,Diesel,Sedan,211,106,2875,6785
Ford,Gasoline,SUV,158,161,3483,16735
BMW,Gasoline,Sedan,142,54,3858,35177
Toyota,Gasoline,SUV,306,203,3716,35712
Ford,Gasoline,Sedan,367,207,2934,21679
Ford,Diesel,Hatchback,395,231,3101,48013
Honda,Diesel,Hatchback,217,62,2951,40365
Toyota,Gasoline,Hatchback,119,132,3435,22064
Ford,Diesel,Hatchback,321,78,2074,35563
BMW,Gasoline,SUV,265,52,2294,38092
BMW,Diesel,Sedan,230,139,3816,31867
Honda,Diesel,SUV,255,153,2020,38754
Ford,Gasoline,Hatchback,283,172,3929,24502
Toyota,Diesel,SUV,189,235,3194,5760
BMW,Gasoline,Sedan,193,299,3038,29142
Ford,Diesel,SUV,112,125,3234,49653
Ford,Gasoline,Sedan,392,179,2559,46996
Honda,Gasoline,SUV,329,252,3109,22290
BMW,Diesel,Sedan,391,157,3172,10499
BMW,Diesel,Sedan,125,205,3723,5364
Toyota,Gasoline,Hatchback,174,131,2371,24797
BMW,Diesel,Sedan,398,126,3503,45795
Toyota,Diesel,Hatchback,249,278,2817,37535
BMW,Gasoline,Hatchback,247,263,3174,21105
Honda,Gasoline,Hatchback,107,253,3164,12939
BMW,Diesel,SUV,128,51,3092,18936
Toyota,Gasoline,SUV,395,176,3283,47029
Toyota,Gasoline,SUV,308,278,2845,20863
Honda,Gasoline,SUV,227,184,3991,17561
BMW,Diesel,Sedan,215,75,2520,15447
BMW,Diesel,Sedan,243,267,3656,35624
Honda,Gasoline,SUV,334,137,2370,49646
BMW,Diesel,Sedan,106,253,3442,17411
BMW,Gasoline,Sedan,144,65,2100,24465
Toyota,Diesel,Hatchback,338,200,2660,43216
BMW,Gasoline,Hatchback,254,217,3977,24642
BMW,Gasoline,Hatchback,280,237,3681,36262
Honda,Diesel,Hatchback,314,122,3888,35363
Honda,Gasoline,Sedan,187,81,2967,7107
Ford,Diesel,SUV,355,64,2242,12928
Toyota,Diesel,Sedan,172,278,2752,24317
BMW,Gasoline,Sedan,278,190,2511,30017
BMW,Gasoline,Sedan,311,54,2848,18528
Ford,Diesel,Hatchback,392,252,2554,18313
BMW,Gasoline,Hatchback,333,123,3118,6559
Toyota,Gasoline,Hatchback,338,101,2225,20167
Ford,Gasoline,SUV,322,126,3541,20343
Toyota,Gasoline,Sedan,218,218,2213,43598
Ford,Gasoline,SUV,363,230,2717,12523
Ford,Diesel,Hatchback,306,159,2066,33439
Honda,Diesel,SUV,194,227,2395,20524
Toyota,Gasoline,Sedan,321,192,2611,18285
BMW,Gasoline,Sedan,375,155,3035,15973
BMW,Gasoline,Hatchback,330,297,3260,27694
Toyota,Diesel,Hatchback,218,176,3857,40774
BMW,Gasoline,SUV,367,56,2769,9302
BMW,Diesel,Hatchback,372,89,3422,27391
Toyota,Diesel,Hatchback,163,205,2406,9611
Ford,Diesel,Sedan,397,209,2924,14372
Toyota,Gasoline,Hatchback,110,148,3872,29312
Ford,Diesel,Hatchback,197,192,3503,19080
BMW,Gasoline,Sedan,170,289,2646,20082
BMW,Diesel,Sedan,157,277,2221,47861
BMW,Gasoline,SUV,389,134,3179,35677
Honda,Diesel,Hatchback,350,247,2653,25874
Ford,Gasoline,Sedan,375,114,2427,13378
Honda,Diesel,SUV,149,181,3181,6597
Honda,Gasoline,SUV,315,60,2976,16600
Toyota,Gasoline,Hatchback,151,157,3439,8747
Honda,Gasoline,Hatchback,370,75,3005,18879
Toyota,Gasoline,SUV,183,238,3349,18017
Toyota,Diesel,Sedan,392,214,2370,29815
Honda,Diesel,SUV,225,200,3367,23964
Ford,Gasoline,Hatchback,395,270,3285,33812
Ford,Diesel,Sedan,171,134,3306,45200
Ford,Gasoline,Sedan,395,289,2849,29714
Ford,Gasoline,SUV,335,286,2855,23890
Ford,Diesel,Hatchback,155,286,2228,9725
Honda,Gasoline,SUV,209,290,3911,48205
Honda,Gasoline,SUV,291,268,2279,25684
BMW,Diesel,SUV,192,280,3893,31325
Ford,Gasoline,Sedan,155,217,3313,37542
Honda,Gasoline,Sedan,159,254,3703,18092
BMW,Gasoline,Hatchback,237,200,3070,35382
Ford,Gasoline,Hatchback,138,172,2974,44770
Toyota,Diesel,SUV,127,193,3738,30457
BMW,Diesel,SUV,148,271,3237,11131
Honda,Diesel,SUV,224,238,2757,30215
Toyota,Gasoline,Hatchback,112,117,3047,17612
Toyota,Gasoline,Sedan,135,153,2320,42305
Toyota,Diesel,Sedan,200,129,2273,18091
BMW,Gasoline,SUV,381,208,2555,40103
Honda,Gasoline,SUV,185,102,2843,42089
Toyota,Gasoline,SUV,103,155,3336,34759
Ford,Gasoline,SUV,322,202,3386,5559
Toyota,Diesel,Hatchback,265,93,2667,5713
Toyota,Diesel,Sedan,377,189,2999,42361
BMW,Diesel,SUV,229,139,2379,20184
BMW,Gasoline,Hatchback,130,150,2710,20261
Honda,Diesel,SUV,110,289,3942,25372
Ford,Diesel,SUV,195,146,3697,37140
BMW,Gasoline,Sedan,289,269,3930,38024
Toyota,Gasoline,SUV,291,58,3493,37544
Honda,Diesel,Sedan,365,61,2745,5037
Toyota,Diesel,Sedan,227,118,2674,48032
Toyota,Diesel,Sedan,337,231,2115,17697
BMW,Diesel,Hatchback,211,293,2604,46420
Honda,Gasoline,Hatchback,244,231,3065,36707
Ford,Diesel,Sedan,164,77,3819,31016
Ford,Diesel,SUV,346,105,2378,39600
BMW,Gasoline,Sedan,322,148,3745,28984
BMW,Diesel,SUV,205,246,3229,10167
Honda,Gasoline,Sedan,280,275,2465,5432
Ford,Gasoline,SUV,283,159,3755,9151
Ford,Gasoline,Hatchback,325,275,2279,11411
Ford,Diesel,SUV,364,126,3671,35788
Toyota,Diesel,Sedan,377,152,2617,31623
Ford,Gasoline,Hatchback,188,155,2117,27104
Toyota,Diesel,SUV,275,158,3260,5256
Honda,Diesel,SUV,117,161,2308,38439
Toyota,Gasoline,SUV,205,107,3479,38257
Honda,Gasoline,SUV,370,127,3923,44657
Ford,Diesel,SUV,266,124,3498,49674
Ford,Gasoline,Hatchback,112,91,2099,23066
Honda,Diesel,Hatchback,131,215,2260,37746
BMW,Diesel,Hatchback,139,117,2992,7460
Honda,Diesel,Hatchback,247,230,3328,42297
BMW,Diesel,Sedan,317,82,3377,39743
Toyota,Gasoline,Hatchback,318,120,2285,8216
Toyota,Gasoline,SUV,181,105,2327,19267
Toyota,Gasoline,SUV,307,154,3126,14581
Ford,Gasoline,Hatchback,300,249,2062,9515
Toyota,Diesel,SUV,137,150,2686,27076
BMW,Diesel,Hatchback,310,100,3305,49816
Toyota,Gasoline,SUV,348,123,3464,14776
Honda,Diesel,Sedan,326,220,3316,26947
Honda,Diesel,Sedan,147,170,2737,7963
Ford,Diesel,Hatchback,117,192,3030,11786
Honda,Gasoline,Hatchback,394,215,2638,18866
BMW,Gasoline,Hatchback,295,192,2935,43968
Toyota,Gasoline,SUV,286,54,3115,37305
Ford,Diesel,Hatchback,323,270,3958,22360
Toyota,Gasoline,Sedan,328,132,3213,45113
Toyota,Gasoline,SUV,176,231,3894,37813
BMW,Gasoline,Hatchback,287,100,2475,6193
Honda,Gasoline,SUV,369,59,3534,9512
Honda,Gasoline,SUV,194,189,3485,27666
Toyota,Gasoline,Hatchback,231,295,2052,21630
Ford,Diesel,SUV,138,53,2753,13983
Honda,Diesel,Sedan,171,144,2485,5636
Ford,Gasoline,Sedan,380,195,3667,8775
Honda,Gasoline,SUV,259,129,3513,7421
Ford,Diesel,Hatchback,286,281,3387,18025
BMW,Diesel,SUV,290,85,3135,14280
Ford,Gasoline,Sedan,219,74,2408,41951
BMW,Gasoline,SUV,319,264,3030,16351
BMW,Gasoline,SUV,152,253,3765,43091
Ford,Gasoline,Sedan,321,147,2667,35171
BMW,Diesel,SUV,230,213,3220,8644
Toyota,Gasoline,SUV,336,150,2834,21142
BMW,Gasoline,Hatchback,345,244,2875,12773
Honda,Gasoline,Hatchback,325,58,3758,33466
Ford,Gasoline,Sedan,307,110,2366,15778
Toyota,Diesel,Sedan,195,102,3001,17501
Ford,Diesel,Sedan,299,195,2249,7108
Honda,Diesel,Hatchback,346,220,3939,34369
Honda,Gasoline,Sedan,171,212,3618,41382
Honda,Gasoline,Sedan,284,112,3263,30818
BMW,Diesel,Sedan,105,170,2379,15251
BMW,Gasoline,Hatchback,305,296,3930,28341
Ford,Gasoline,SUV,131,275,2871,16678
Ford,Diesel,Sedan,198,154,2834,19367
Toyota,Diesel,SUV,355,255,3494,34672
Toyota,Diesel,Sedan,286,53,2774,9332
Ford,Diesel,SUV,175,142,2918,17002
BMW,Gasoline,Hatchback,276,218,3724,25284
Honda,Gasoline,Hatchback,386,222,2454,20700
Ford,Diesel,Sedan,354,227,2365,18769
Toyota,Gasoline,SUV,289,256,3313,34318
BMW,Diesel,Hatchback,226,77,3897,29323
Ford,Diesel,Sedan,386,219,2402,32610
Ford,Gasoline,Sedan,353,129,2057,11963
BMW,Diesel,Hatchback,312,125,2520,12838
Ford,Gasoline,Hatchback,349,165,3327,17243
BMW,Gasoline,Sedan,183,118,3138,32939
Honda,Gasoline,SUV,112,147,2209,6845
BMW,Gasoline,SUV,144,283,3064,21766
BMW,Diesel,SUV,226,50,2815,41880
BMW,Gasoline,Sedan,213,216,2172,17780
Ford,Diesel,Hatchback,375,145,2233,47856
Ford,Diesel,Sedan,304,267,2792,6509
BMW,Diesel,Hatchback,372,66,3907,28957
Ford,Diesel,SUV,157,161,3613,39346
Toyota,Gasoline,SUV,318,140,3643,22263
Toyota,Gasoline,Hatchback,208,137,2792,31148
Ford,Diesel,Hatchback,378,212,3426,36533
Ford,Diesel,Sedan,273,223,3062,47608
BMW,Gasoline,SUV,363,219,2118,17931
Honda,Diesel,Sedan,210,295,2334,6359
Ford,Gasoline,Sedan,286,216,3359,29532
Toyota,Diesel,Sedan,368,139,3562,25344
BMW,Gasoline,SUV,328,98,3639,9242
Ford,Diesel,Sedan,255,239,3097,25601
Toyota,Diesel,Sedan,288,87,3214,24116
Toyota,Gasoline,Sedan,371,200,2323,40477
Honda,Diesel,Sedan,101,199,3010,35782
BMW,Diesel,Sedan,345,181,3170,23880
BMW,Gasoline,Sedan,309,226,3790,8499
Honda,Diesel,SUV,385,108,2283,36587
Honda,Gasoline,Sedan,112,250,2212,49458
BMW,Gasoline,Hatchback,195,117,3658,31020
BMW,Diesel,Sedan,320,248,3741,13080
Ford,Diesel,Sedan,337,264,2928,28207
Ford,Diesel,SUV,193,179,2751,38957
Honda,Diesel,SUV,368,98,3417,18908
Ford,Diesel,Hatchback,270,265,2338,35652
Toyota,Diesel,Hatchback,193,281,3821,35344
Ford,Diesel,SUV,248,296,3045,30034
Ford,Gasoline,SUV,211,175,3794,30788
Toyota,Diesel,Sedan,154,272,3892,17751
Honda,Gasoline,SUV,215,288,2104,38793
Toyota,Diesel,Hatchback,242,208,3489,37839
Ford,Diesel,Sedan,300,160,3482,43314
Honda,Gasoline,Hatchback,279,217,3455,40453
Ford,Diesel,Sedan,301,97,2769,14385
Toyota,Diesel,SUV,152,100,2715,23232
Toyota,Gasoline,Hatchback,279,92,3845,48344
Ford,Diesel,Sedan,236,147,3797,39790
BMW,Diesel,Sedan,281,232,3642,20831
BMW,Diesel,SUV,100,265,2762,25125
Toyota,Gasoline,SUV,143,226,3959,22682
Toyota,Diesel,SUV,326,173,3244,41870
BMW,Diesel,Hatchback,197,267,2378,22288
BMW,Diesel,Sedan,307,129,3245,40794
Ford,Diesel,SUV,364,234,3281,44477
Ford,Gasoline,Hatchback,387,160,2712,29405
BMW,Gasoline,Hatchback,370,254,3390,43737
Ford,Diesel,Hatchback,239,192,3793,7620
Ford,Diesel,SUV,336,76,3372,40414
Honda,Gasoline,SUV,171,245,2224,42633
Ford,Gasoline,Sedan,254,257,3737,40057
Toyota,Diesel,Sedan,289,241,2737,45138
Ford,Gasoline,SUV,367,271,2235,18854
Ford,Diesel,Hatchback,206,285,2182,14677
BMW,Gasoline,Hatchback,331,207,2711,49111
Toyota,Gasoline,Hatchback,141,213,3892,29074
Ford,Gasoline,Sedan,289,244,3781,22824
Ford,Gasoline,Hatchback,238,263,2443,5765
Honda,Diesel,Sedan,202,162,3888,36615
Ford,Gasoline,Sedan,270,135,2622,41860
Ford,Gasoline,Hatchback,372,163,3029,17975
Honda,Diesel,Hatchback,320,298,3259,14341
BMW,Gasoline,SUV,312,291,3150,33141
Ford,Gasoline,SUV,155,296,3127,17334
Honda,Diesel,Hatchback,201,173,2748,20835
Toyota,Gasoline,Sedan,291,98,3938,31548
BMW,Diesel,Sedan,299,125,3503,40434
Toyota,Diesel,Sedan,332,104,2154,30039
Toyota,Diesel,Sedan,326,262,2256,37530
Honda,Diesel,Sedan,238,105,2234,43736
Ford,Gasoline,SUV,248,245,2499,45409
Honda,Diesel,Hatchback,214,144,2288,23565
Honda,Gasoline,SUV,162,93,2509,14834
Honda,Gasoline,Sedan,203,208,3575,41656
Honda,Gasoline,Sedan,255,235,3823,5840
BMW,Gasoline,Sedan,372,136,2708,18873
Ford,Gasoline,Sedan,105,295,2784,36568
Toyota,Gasoline,Hatchback,246,230,2893,15846
Toyota,Gasoline,Sedan,283,133,2775,10899
Ford,Gasoline,Hatchback,127,256,3592,25502
Toyota,Gasoline,Sedan,137,200,2297,5565
Ford,Gasoline,Hatchback,218,205,3633,43773
Toyota,Diesel,SUV,392,65,2136,46924
Honda,Diesel,Sedan,343,214,2375,48242
Toyota,Diesel,Hatchback,167,198,2086,14187
Ford,Gasoline,SUV,313,256,3442,12226
Ford,Diesel,Sedan,317,194,3777,47147
Ford,Diesel,Sedan,276,291,3222,43658
Ford,Diesel,Sedan,398,86,3486,9311
Ford,Gasoline,Hatchback,263,126,2436,49214
BMW,Gasoline,Hatchback,157,196,3333,46616
BMW,Gasoline,SUV,368,207,3619,30689
Toyota,Gasoline,Hatchback,157,94,3777,11083
Ford,Diesel,Hatchback,387,195,3304,17598
Toyota,Diesel,Sedan,204,255,3346,21940
Ford,Diesel,Sedan,327,111,2763,31880
Ford,Diesel,Sedan,346,213,2701,7580
BMW,Gasoline,Sedan,287,149,3974,47321
BMW,Gasoline,Sedan,182,261,2941,14386
Honda,Gasoline,Sedan,285,101,2151,24522
BMW,Diesel,Sedan,351,68,3325,31224
Honda,Gasoline,SUV,337,158,3301,19635
Honda,Gasoline,SUV,283,93,3674,5671
Honda,Diesel,SUV,383,56,3711,38545
Honda,Diesel,SUV,309,298,3031,31855
Honda,Gasoline,Sedan,395,221,2806,40790
Toyota,Gasoline,SUV,196,166,2234,19260
BMW,Gasoline,Sedan,307,117,2674,6074
Honda,Gasoline,SUV,236,83,2560,47676
Ford,Gasoline,Hatchback,283,243,3325,14475
BMW,Gasoline,SUV,175,118,2037,17878
BMW,Diesel,SUV,386,104,3159,20120
Honda,Diesel,Sedan,241,59,2821,28147
Toyota,Diesel,SUV,336,273,2420,6986
Honda,Gasoline,Hatchback,124,91,3242,48593
Toyota,Diesel,Sedan,389,90,2347,37430
Ford,Gasoline,Sedan,166,254,3831,46961
BMW,Gasoline,SUV,349,280,3569,22430
Ford,Diesel,Sedan,217,246,3887,7176
Toyota,Gasoline,Sedan,172,171,3102,23722
Toyota,Gasoline,Sedan,381,187,2747,47815
Ford,Diesel,Sedan,109,59,3918,23617
Toyota,Diesel,Sedan,310,151,2272,32115
Ford,Diesel,Sedan,251,268,3184,42376
BMW,Gasoline,Hatchback,104,237,3710,16906
Ford,Diesel,SUV,294,177,3901,45002
BMW,Diesel,Hatchback,382,228,2307,11610
Ford,Gasoline,Sedan,212,198,3397,48292
Toyota,Diesel,Sedan,370,185,2975,18411
Ford,Diesel,SUV,262,242,2732,14180
Toyota,Diesel,Hatchback,204,141,3032,15073
Ford,Gasoline,SUV,280,162,3824,42251
Ford,Gasoline,Hatchback,143,280,2443,35960
Honda,Gasoline,Sedan,381,127,3136,10901
Toyota,Gasoline,SUV,274,134,3228,43897
Honda,Diesel,SUV,261,79,2404,48183
Toyota,Gasoline,Sedan,239,262,3721,9482
Honda,Gasoline,SUV,231,98,2852,47454
BMW,Diesel,Hatchback,186,58,3220,30428
Ford,Diesel,Hatchback,275,194,2777,12400
Toyota,Diesel,Hatchback,282,118,3797,44574
Toyota,Gasoline,Hatchback,228,107,3783,48284
Ford,Gasoline,Sedan,345,234,2114,12396
Toyota,Gasoline,SUV,188,111,3144,12338
Toyota,Diesel,Hatchback,165,272,3676,47718
Honda,Diesel,Sedan,257,101,2064,17500
Toyota,Gasoline,SUV,248,238,3299,16545
BMW,Diesel,SUV,215,89,2824,10241
BMW,Diesel,Sedan,313,215,2238,28778
Ford,Diesel,Sedan,393,220,2301,27821
Toyota,Gasoline,Hatchback,352,112,3415,9695
Ford,Diesel,SUV,242,196,3545,16530
BMW,Diesel,SUV,349,277,2968,19318
Toyota,Gasoline,Sedan,124,99,2368,27331
Toyota,Gasoline,SUV,376,210,2232,31355
Ford,Diesel,Hatchback,169,190,2194,16324
BMW,Diesel,SUV,212,127,2906,33149
Toyota,Gasoline,Sedan,211,297,3035,8218
Ford,Gasoline,Sedan,190,146,3929,25141
BMW,Diesel,Hatchback,117,239,2920,41784
Ford,Diesel,Hatchback,248,270,2688,7837
Honda,Diesel,SUV,326,92,2176,44802
Toyota,Diesel,SUV,313,226,2216,45077
Honda,Gasoline,Sedan,250,85,3034,19379
BMW,Diesel,Hatchback,291,171,3469,9239
Honda,Diesel,Hatchback,139,157,2629,49896
Honda,Gasoline,Hatchback,341,59,2163,25812
BMW,Diesel,SUV,237,144,3574,34669
Ford,Gasoline,Hatchback,279,55,2052,14611
Honda,Diesel,Sedan,299,106,2217,9150
Ford,Diesel,Sedan,302,178,3741,16109
Honda,Gasoline,SUV,160,120,2998,39214
Ford,Gasoline,SUV,291,235,2823,31016
BMW,Diesel,Hatchback,104,268,3383,16936
Honda,Diesel,SUV,336,70,2384,16036
BMW,Diesel,Sedan,280,141,2055,44236
Honda,Gasoline,Hatchback,136,176,2117,19021
BMW,Diesel,Sedan,155,129,2899,41943
BMW,Gasoline,Hatchback,336,105,3276,42848
Honda,Gasoline,SUV,296,287,2797,20471
Honda,Diesel,Hatchback,172,264,2779,28244
Honda,Gasoline,Hatchback,158,165,3015,43985
Toyota,Diesel,Sedan,339,197,2802,43440
Ford,Diesel,Sedan,101,279,2844,6502
Toyota,Diesel,Hatchback,287,231,3203,39178
Toyota,Diesel,SUV,129,74,3438,8770
BMW,Diesel,SUV,366,205,3893,47865
Honda,Gasoline,Sedan,207,54,3258,9001
Ford,Gasoline,SUV,189,169,2854,25946
BMW,Diesel,Sedan,304,70,2707,5598
Toyota,Diesel,SUV,319,67,3843,35316
Honda,Gasoline,Hatchback,193,224,3103,30567
BMW,Gasoline,Sedan,202,247,3670,31508
Honda,Gasoline,Sedan,322,106,2021,48744
BMW,Gasoline,Hatchback,285,142,3500,44159
Honda,Diesel,Sedan,283,68,2842,35276
Toyota,Diesel,SUV,261,177,3463,28671
Ford,Gasoline,SUV,346,146,3760,21450
Toyota,Diesel,Sedan,130,242,3593,19908
Ford,Gasoline,SUV,151,286,3116,49358
Honda,Diesel,Sedan,175,180,2191,40518
BMW,Gasoline,Hatchback,377,219,3018,36212
Toyota,Diesel,Sedan,139,70,3126,47684
Ford,Gasoline,Hatchback,200,276,2395,11806
Toyota,Gasoline,SUV,210,282,3030,44197
Ford,Diesel,Hatchback,348,89,2639,45891
Toyota,Gasoline,SUV,290,116,3018,23015
Ford,Diesel,Sedan,281,202,2566,44220
Ford,Diesel,SUV,308,176,2230,22158
Honda,Gasoline,Sedan,121,286,2873,20456
Ford,Diesel,Sedan,265,279,2573,32588
Honda,Diesel,Hatchback,198,286,2239,27491
Ford,Diesel,Hatchback,307,104,2089,29188
BMW,Diesel,Hatchback,107,261,2231,32079
BMW,Diesel,Hatchback,289,229,2456,9019
